City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Bubaque,GW,2021-09-27 14:46:17,11.2833,-15.8333,83.57,74,96,3.42
202,Vanimo,PG,2021-09-27 14:42:32,-2.6741,141.3028,77.47,88,95,3.69
203,Orange Cove,US,2021-09-27 14:46:18,36.6244,-119.3137,72.84,100,1,0.0
204,Beloha,MG,2021-09-27 14:46:18,-25.1667,45.05,77.81,50,3,15.93
205,Suhbaatar,MN,2021-09-27 14:46:19,50.2314,106.2078,39.2,75,98,7.65
206,Urumqi,CN,2021-09-27 14:41:23,43.801,87.6005,61.75,25,0,2.24
207,Sitka,US,2021-09-27 14:46:21,57.0531,-135.33,49.89,87,90,3.44
208,Marakkanam,IN,2021-09-27 14:46:21,12.2,79.95,85.71,69,100,9.53
209,Karratha,AU,2021-09-27 14:46:21,-20.7377,116.8463,74.88,28,26,14.36
210,Necochea,AR,2021-09-27 14:43:58,-38.5473,-58.7368,55.04,59,85,6.49
211,Jiaojiang,CN,2021-09-27 14:46:22,28.6803,121.4428,74.25,91,26,1.61
212,Yingcheng,CN,2021-09-27 14:46:23,30.95,113.55,77.05,80,3,9.33
213,Paamiut,GL,2021-09-27 14:43:33,61.994,-49.6678,32.99,47,0,8.52
214,Quelimane,MZ,2021-09-27 14:46:23,-17.8786,36.8883,82.35,54,0,18.01
215,Smolenka,RU,2021-09-27 14:46:24,52.1352,113.4974,30.27,80,80,6.71
216,Geraldton,AU,2021-09-27 14:43:15,-28.7667,114.6,54.12,87,20,0.0
217,Lebu,CL,2021-09-27 14:42:05,-37.6167,-73.65,53.29,54,0,17.34
218,Mudgee,AU,2021-09-27 14:46:25,-32.5943,149.5871,50.05,81,99,8.05
219,Havelock,US,2021-09-27 14:46:25,34.8791,-76.9013,78.94,58,1,3.0
220,Salalah,OM,2021-09-27 14:42:02,17.0151,54.0924,87.89,70,0,6.91
221,Tevriz,RU,2021-09-27 14:46:26,57.509,72.4042,42.04,59,100,7.31
222,Tabou,CI,2021-09-27 14:46:27,4.423,-7.3528,77.63,85,100,6.35
223,Longyearbyen,SJ,2021-09-27 14:40:31,78.2186,15.6401,35.44,75,75,3.44
224,Ormara,PK,2021-09-27 14:46:27,25.2088,64.6357,83.84,75,70,13.4
225,Kralendijk,BQ,2021-09-27 14:46:28,12.15,-68.2667,89.58,62,20,13.8
226,Jiayuguan,CN,2021-09-27 14:46:29,39.8167,98.3,64.29,18,0,8.14
227,Isla Aguada,MX,2021-09-27 14:46:29,18.7833,-91.4667,82.44,77,17,9.69
228,Makakilo City,US,2021-09-27 14:46:30,21.3469,-158.0858,75.56,75,20,3.44
229,Oktyabrskoye,RU,2021-09-27 14:46:30,43.0645,44.7417,53.74,76,90,6.71
230,San Policarpo,PH,2021-09-27 14:46:31,12.1791,125.5072,78.78,88,78,5.32
231,Codrington,AU,2021-09-27 14:42:07,-38.2667,141.9667,48.76,78,98,7.85
232,Sigli,ID,2021-09-27 14:46:31,5.3848,95.9609,79.9,79,96,1.95
233,Zyryanka,RU,2021-09-27 14:46:32,65.75,150.85,24.82,79,17,9.64
234,Nanortalik,GL,2021-09-27 14:40:50,60.1432,-45.2371,36.81,59,1,7.43
235,Santa Maria,BR,2021-09-27 14:46:33,-29.6842,-53.8069,69.1,83,75,6.91
236,Bathsheba,BB,2021-09-27 14:43:23,13.2167,-59.5167,86.61,70,20,6.91
237,Tasiilaq,GL,2021-09-27 14:40:54,65.6145,-37.6368,35.76,58,2,2.86
238,Liverpool,GB,2021-09-27 14:42:12,53.4106,-2.9779,63.61,61,40,3.0
239,Raudeberg,NO,2021-09-27 14:46:34,61.9875,5.1352,69.58,67,59,15.75
240,Bandarbeyla,SO,2021-09-27 14:41:33,9.4942,50.8122,78.94,80,51,22.91
241,Tuatapere,NZ,2021-09-27 14:43:01,-46.1333,167.6833,38.82,86,68,4.97
242,Chara,RU,2021-09-27 14:46:35,56.9064,118.2631,31.78,79,100,3.91
243,Popondetta,PG,2021-09-27 14:46:36,-8.7537,148.2534,72.64,97,92,2.84
244,Nyzy,UA,2021-09-27 14:46:36,50.7828,34.7844,51.28,76,61,8.25
245,Port Hardy,CA,2021-09-27 14:46:37,50.6996,-127.4199,51.8,93,90,10.36
246,Eyl,SO,2021-09-27 14:43:30,7.9803,49.8164,80.19,76,93,27.81
247,Te Anau,NZ,2021-09-27 14:42:29,-45.4167,167.7167,33.13,84,18,1.48
248,Hattersheim,DE,2021-09-27 14:46:38,50.0667,8.4667,73.22,72,40,5.75
249,Ara,IN,2021-09-27 14:46:40,25.5667,84.6667,76.89,65,100,5.44
250,Padang,ID,2021-09-27 14:42:44,-0.9492,100.3543,78.49,90,99,4.23
251,Maracaibo,VE,2021-09-27 14:46:40,10.6317,-71.6406,89.58,58,100,3.65
252,Srednekolymsk,RU,2021-09-27 14:46:41,67.45,153.6833,22.87,89,71,15.1
253,Guaymas,MX,2021-09-27 14:46:41,27.9333,-110.9,72.77,88,20,0.0
254,Fez,MA,2021-09-27 14:42:54,34.0372,-4.9998,91.65,22,0,3.44
255,Manokwari,ID,2021-09-27 14:43:33,-0.8667,134.0833,79.7,81,100,4.74
256,Bilibino,RU,2021-09-27 14:43:37,68.0546,166.4372,12.9,98,100,2.66
257,Suntar,RU,2021-09-27 14:46:43,62.1444,117.6319,38.03,71,100,13.47
258,Hamilton,US,2021-09-27 14:42:39,39.1834,-84.5333,73.06,66,0,3.0
259,Aguia Branca,BR,2021-09-27 14:46:44,-18.9831,-40.7403,84.24,46,94,6.85
260,Torbay,CA,2021-09-27 14:43:11,47.6666,-52.7314,61.75,98,90,27.63
261,Lahaina,US,2021-09-27 14:46:45,20.8783,-156.6825,77.81,86,3,9.17
262,Hirara,JP,2021-09-27 14:46:45,24.8,125.2833,84.15,71,10,16.96
263,Lutz,US,2021-09-27 14:46:18,28.1511,-82.4615,84.79,70,40,1.01
264,Talnakh,RU,2021-09-27 14:41:55,69.4865,88.3972,32.04,59,10,5.3
265,Tateyama,JP,2021-09-27 14:46:46,34.9833,139.8667,69.1,78,91,14.34
266,Noumea,NC,2021-09-27 14:46:47,-22.2763,166.4572,71.01,99,69,4.99
267,Visnes,NO,2021-09-27 14:43:21,59.3556,5.2242,67.89,63,75,23.02
268,Evensk,RU,2021-09-27 14:42:44,61.95,159.2333,39.47,51,100,4.59
269,Troitsko-Pechorsk,RU,2021-09-27 14:42:07,62.7084,56.1964,36.66,76,65,4.63
270,Monjas,GT,2021-09-27 14:46:48,14.5,-89.8667,71.98,83,88,4.41
271,Hemsedal,NO,2021-09-27 14:46:48,60.8629,8.5534,53.31,99,100,5.46
272,Kambove,CD,2021-09-27 14:46:49,-10.8764,26.5969,82.22,28,94,4.29
273,Nobeoka,JP,2021-09-27 14:46:49,32.5833,131.6667,73.76,89,100,10.13
274,Tomari,RU,2021-09-27 14:46:50,47.7658,142.0683,58.57,92,100,14.63
275,Hervey Bay,AU,2021-09-27 14:46:50,-25.2986,152.8535,67.03,68,100,12.21
276,Ribeira Grande,PT,2021-09-27 14:41:00,38.5167,-28.7,73.8,68,75,18.41
277,Ginir,ET,2021-09-27 14:46:51,7.1333,40.7,68.95,53,79,1.59
278,Vuktyl,RU,2021-09-27 14:46:52,63.8567,57.3094,40.42,62,100,4.99
279,Sinop,TR,2021-09-27 14:46:53,41.7711,34.8709,63.03,77,9,4.85
280,Courtenay,CA,2021-09-27 14:45:18,49.6866,-124.9936,57.92,55,75,10.36
281,Tupaciguara,BR,2021-09-27 14:46:53,-18.5922,-48.705,83.32,26,10,3.58
282,Neuquen,AR,2021-09-27 14:46:54,-38.9516,-68.0591,58.89,36,0,5.75
283,Turukhansk,RU,2021-09-27 14:46:54,65.8167,87.9833,35.58,81,77,2.73
